Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	Caprolactam	Nonanoic acid	indole	a-copaene	petasitene	(E)-a-bergamotene	b-caryophyllene	(E)-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(Z)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	(Z)-a-bergamotene	a-humulene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	cosmene	(4E,6Z)-alloocimene	furan-3-carbaldehyde	sabinene	3-carene	b-caryophyllene oxide	[(Z)-hex-3-enyl] 2-methylbutanoate	2-butyloctan-1-ol	hexan-1-ol	verbenone	3-methylbutan-1-ol
5C216_July16_07262018.qgd	7062	0	143077	34906	17054	51712	0	3135	0	0	2422	0	195412	0	0	0	3038	216895	2536	1005	0	9415	0	0	136619	36343	47798	34399	2241	1410	0	0	102016	39375	11178	35377	4829	0	2239	11127	4806	3250	0	18612	11474	0	1631	3818
5D283_July16_07262018.qgd	0	0	129940	123445	410272	49665	36276	36574	0	0	0	0	1223735	0	0	0	2841	0	6600	33769	67141	0	0	16719	47154	45525	82976	51699	0	35022	14193	271828	1245081	448982	1369244	27509	0	0	2206	65676	74417	111419	0	0	289305	119669	11674	0
6D54_July16_07262018.qgd	3822	0	47983	0	16348	2372	2372	10072	0	0	3485	0	147298	0	0	2154	1563	0	0	0	8569	0	0	11153	0	0	0	0	0	0	0	0	315678	17788	111899	5599	0	0	1053	34526	4250	5635	0	0	87927	26932	0	0
3D874_July16_07262018.qgd	46516	0	717799	0	41977	48259	4762	18553	152737	45430	5404	0	271156	0	0	0	12159	888718	0	57722	266608	9752	0	0	436395	0	78891	0	0	17448	39831	235930	632446	268318	188083	0	0	16807	4114	35641	34411	56107	6217	0	108613	158047	1605	34359
2D212_July17_07262018.qgd	8200	0	291561	0	11831	16636	0	5089	0	0	4056	0	216392	340736	0	4670	2675	86613	0	0	19146	0	0	7692	73756	18535	8550	4911	2446	4846	0	64120	226611	66892	18202	15012	0	0	1873	23988	24913	29452	0	0	54212	43483	1654	8497
5C221_July16_07262018.qgd	56123	0	3649292	534309	10782	0	6697	2773	0	6283	6591	0	151984	85716	0	6851	3547	201984	6993	21779	7585	0	0	16073	240290	28580	126048	23727	3787	11441	4544	0	154615	390899	22378	56390	0	0	2451	16234	51065	4100	0	13416	33015	36675	11168	6532
4A76_July17_07262018.qgd	5319	0	37924	11915	4205	0	1263	5998	0	5803	6071	0	264366	0	0	1929	4117	40097	0	0	15117	0	0	37228	29789	7236	3389	0	3479	0	0	12919	233535	32174	17436	8715	0	0	513	26897	14949	18966	0	0	84903	43409	1048	0
5B284_July16_07262018.qgd	9990	0	515432	114299	23687	74552	3066	9897	33515	44054	5379	0	181901	284764	0	4504	3231	883005	0	62252	19264	0	15769	24263	138771	86407	398521	16584	0	124411	26702	0	416496	146898	119831	10765	0	0	3492	47030	11767	6535	0	101952	87661	103650	1927	13876
3C147_July16_07262018.qgd	4208	0	47804	0	2092	0	0	6433	0	0	4278	0	127496	101106	0	2753	1081	35925	0	5625	7629	0	0	13331	42918	23686	1902	4339	2219	3172	3632	8774	199589	25760	16065	8342	0	0	0	17302	3722	3553	0	0	44069	38976	603	0
2C100_July17_07262018.qgd	0	0	106465	3462	8961	0	0	1515	0	1465	1780	0	98574	192635	0	0	281	0	0	446	10222	0	0	10656	0	0	651	0	0	2273	0	9049	97888	8950	30024	941	0	0	0	20098	2719	3915	0	0	16495	10809	0	0
2D218_July9_07262018.qgd	13885	0	437844	0	363456	0	0	31512	0	20743	3017	0	1078412	0	0	0	4590	0	6869	23593	52698	0	0	0	0	42819	0	0	0	23080	8672	218890	1188503	424623	756098	23224	0	0	1157	74091	93911	133474	0	0	155672	91625	10767	0
3D877_July19_07262018.qgd	0	0	268087	53246	28401	62958	7490	18846	0	47021	4666	0	550549	0	0	0	6711	0	2698	6197	44321	0	14104	0	234000	33480	10097	18226	0	45983	0	53969	905950	174083	439212	40937	0	0	3462	81841	36135	46368	0	0	178102	157891	8109	15985
5D245_July27_07262018.qgd	0	0	15575	0	14353	3848	3848	6369	0	27452	3410	0	296167	654237	0	4434	1978	0	0	9487	14690	0	7003	0	0	10742	1784	0	3523	9388	0	11421	229242	12829	18029	8486	0	0	667	13276	2033	2885	0	0	0	48434	870	0
3A128_June22_07262018.qgd	0	0	56091	0	27175	2168	0	12121	0	0	5249	0	339921	263179	0	2807	1151	0	1052	5596	12596	0	4296	0	0	0	0	5584	4089	0	0	0	645357	27626	140102	5959	0	0	341	46485	10000	14938	0	0	128441	37690	0	0
2C291_June22_07262018.qgd	0	0	93246	40957	236332	9174	28230	35060	0	60066	0	0	1156453	0	0	9109	3244	0	0	4677	99278	0	30334	0	0	23795	0	0	0	19313	0	0	1170805	220790	1431494	0	0	0	1256	85048	79651	128110	0	0	161909	71727	12965	0
6D47_June25_07262018.qgd	0	0	113714	0	272132	0	0	30886	0	40843	3678	0	1160438	0	0	5981	5386	0	0	3212	67102	0	54786	0	0	18098	0	45161	0	41364	0	75950	1202066	232436	916769	10151	0	0	851	68430	88958	146779	0	0	195053	71517	13887	0
2D200_June22_07262018.qgd	7078	0	277055	22756	60876	0	0	9131	0	0	4946	0	260925	207989	0	1197	7566	171837	0	2001	8155	0	0	0	283520	30993	26145	0	0	0	1569	22114	367270	62488	187082	20647	0	0	850	184939	18562	25513	0	19697	54173	91392	4076	3001
3C156_June22_07262018_3D884_June22.qgd	7078	0	277055	22756	60876	0	0	9131	0	0	4946	0	260925	207989	0	1197	7566	171837	0	2001	8155	0	0	0	283520	30993	26145	0	0	0	1569	22114	367270	62488	187082	20647	0	0	850	184939	18562	25513	0	19697	54173	91392	4076	3001
3D844_June22_07262018_5D231_June27.qgd	0	0	101867	0	126031	0	15756	10390	39962	0	3124	0	331530	0	0	1066	1631	0	0	0	14293	0	0	0	0	15745	1542	0	8757	12509	1388	44061	335512	83357	67656	7627	0	0	0	61608	69644	114053	0	0	75611	26688	3075	0
5D231_June27_07262018_2B87_June22.qgd	0	0	177645	9556	30587	4954	4954	7507	0	34670	4220	6283	299167	5810	0	895	3092	49560	2474	36208	32639	0	5747	0	114184	54524	8255	0	11633	12831	18057	13151	314128	31839	82153	14813	0	0	513	43667	8038	10244	0	0	38777	31162	3041	0
2B87_June22_07262018_5C205_June27.qgd	0	0	30003	0	109906	8517	8374	15011	0	34405	4748	14688	453781	181498	0	4118	0	0	985	0	34104	0	15196	0	0	23045	0	0	9583	956	1457	39078	336966	73545	36555	12494	0	0	925	69089	48302	79057	0	0	169053	34459	0	0
5C205_June27_07262018_5A181_June25.qgd	0	0	0	0	0	216	0	0	0	0	0	0	0	33504	3867	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0
5A181_June25_07262018_Air_June27.qgd	0	0	9926	9257	30640	2935	2003	4264	0	8445	4387	0	114705	0	0	1803	0	0	0	0	7582	0	6070	0	12390	38707	0	0	1631	0	0	11254	228505	28861	7632	30344	0	0	0	14705	3825	4602	0	0	0	18717	0	0
